ticker,sector,mer,fum, one_month_return 
IEM,Equity - Emerging Markets,0.69,892.23,-0.45 
FEMX,Equity - Emerging Markets,0.99,203.75,-2.72 
VGE,Equity - Emerging Markets,0.48,736.66, 0.67 
WEMG,Equity - Emerging Markets,0.65,18.66, 0.90 
ACDC,Equity - Global Sectors,0.69,546.49,-5.43 
ATOM,Equity - Global Sectors,0.69,19.42, 13.94 
BUGG,Equity - Global Sectors,0.51,3.52, 7.81 
BNKS,Equity - Global Sectors,0.57,39.76, 1.78 
CLDD,Equity - Global Sectors,0.67,52.2, 4.52 
CLNE,Equity - Global Sectors,0.65,90.49,-10.54 
CRYP,Equity - Global Sectors,0.67,104.81,-25.05 
CURE,Equity - Global Sectors,0.45,40.61, 2.66 
DRIV,Equity - Global Sectors,0.67,13.12,-7.23 
DRUG,Equity - Global Sectors,0.57,162.53, 3.88 
EDOC,Equity - Global Sectors,0.67,1.49,-3.43 
ESPO,Equity - Global Sectors,0.55,67.55, 4.62 
FANG,Equity - Global Sectors,0.35,465.02, 8.15 
FOOD,Equity - Global Sectors,0.57,106.87,-3.43 
FUEL,Equity - Global Sectors,0.57,170.38, 0.68 
GAME,Equity - Global Sectors,0.57,1.99, 1.50 
GDX,Equity - Global Sectors,0.53,428.39,-6.60 
GMTL,Equity - Global Sectors,0.69,2.45,-7.74 
HACK,Equity - Global Sectors,0.67,924.72, 9.97 
HGEN,Equity - Global Sectors,0.69,35.75,-8.56 
HLTH,Equity - Global Sectors,0.45,57.18, 4.76 
IBUY,Equity - Global Sectors,0.67,1.26, 2.23 
IEAT,Equity - Global Sectors,0.67,3.56,-1.13 
IPAY,Equity - Global Sectors,0.67,1.78, 0.77 
ITEK,Equity - Global Sectors,0.56,3.71, 0.57 
IXI,Equity - Global Sectors,0.4,142.17, 5.24 
IXJ,Equity - Global Sectors,0.4,"1,273.03", 6.78 
MHOT,Equity - Global Sectors,0.52,12.68,-0.65 
MNRS,Equity - Global Sectors,0.57,63.71,-9.54 
MTAV,Equity - Global Sectors,0.69,3.77, 4.25 
RBTZ,Equity - Global Sectors,0.57,225, 5.61 
ROBO,Equity - Global Sectors,0.69,240.47, 0.95 
ROYL,Equity - Global Sectors,0.69,6.16, 0.76 
SEMI,Equity - Global Sectors,0.57,153.97, 7.52 
TANN,Equity - Global Sectors,0.69,2.82,-15.24 
TECH,Equity - Global Sectors,0.45,341.72, 2.45 
